Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
12-May-17,950,965.7,950,963.9,959.1597645,839329,6777,805050606,209651,24.98,15.7,13.9
11-May-17,945,948.7,937.75,943.85,944.782429,64857,1992,61275754,23438,36.14,10.95,-1.15
10-May-17,947,949.7,937.2,943.2,944.0617205,79941,2182,75469238,33125,41.44,12.5,-3.8
09-May-17,949.9,951,942.25,946.7,947.3580097,201313,2353,190715483,146941,72.99,8.75,-3.2
08-May-17,936,948.45,932.75,945.45,940.8919852,153766,5485,144677197,82616,53.73,15.7,9.45
05-May-17,936,936.4,921.25,931.5,928.8768979,107553,3298,99903497,31594,29.38,15.15,-4.5
04-May-17,935,939.2,929.15,936.3,935.2125776,106046,3090,99175553,28090,26.49,10.05,1.3
03-May-17,924.3,938.8,918.2,935.65,932.3148026,224150,5225,208978363,59400,26.5,20.6,11.35
02-May-17,924.8,925.75,915.65,921,921.2140974,77745,2757,71619790,30270,38.93,10.1,-3.8
28-Apr-17,925.05,926.5,916.9,919.4,920.4448152,103697,3029,95447366,46632,44.97,9.6,-5.65
27-Apr-17,920,926.45,916,923.95,922.572092,126616,3355,116812388,41033,32.41,10.45,3.95
26-Apr-17,933,934.7,910.4,914.05,917.3016816,265820,9858,243837133,110632,41.62,24.3,-18.95
25-Apr-17,929.8,933,920.5,929,928.8596556,161916,4646,150397240,58626,36.21,12.5,-0.8
24-Apr-17,918.8,928,913,926.05,919.5540647,197282,5498,181411465,76750,38.9,15,7.25
21-Apr-17,934.2,934.2,921.3,923.7,925.9254414,138039,3457,127813822,58306,42.24,12.9,-10.5
20-Apr-17,920,929.8,919.05,927.65,924.3715009,187122,6480,172970244,67404,36.02,10.75,7.65
19-Apr-17,929.8,929.8,912,918.8,917.8176625,308768,8585,283392724,123095,39.87,17.8,-11
18-Apr-17,925,934,919.55,922.4,926.564954,270730,7986,250848930,97481,36.01,14.45,-2.6
17-Apr-17,932,932.35,921.9,924.8,926.9466778,280146,7932,259680404,99502,35.52,10.45,-7.2
13-Apr-17,974,990.95,927,931.4,942.883846,1552568,46351,1463891287,449623,28.96,63.95,-42.6
12-Apr-17,972,976.05,961.05,968.8,968.71444,212099,6185,205463364,75815,35.75,15,-3.2
11-Apr-17,955,971.2,955,967.15,966.2278624,157718,5571,152391526,69259,43.91,16.2,12.15
10-Apr-17,982,991,950,952.95,965.2012081,331766,11770,320220944,173341,52.25,41,-29.05
07-Apr-17,1000,1000,979,981.25,986.3851728,214862,7715,211936691,96104,44.73,21,-18.75
06-Apr-17,995.1,1005.8,992,999.15,1000.134142,89547,3164,89559012,27871,31.12,13.8,4.05
05-Apr-17,1005,1006,991,995.4,997.5024009,175145,6067,174707558,81488,46.53,15,-9.6
03-Apr-17,1027.1,1030.5,1006.55,1009.45,1011.331676,157467,5491,159251365,63991,40.64,23.95,-17.65
31-Mar-17,1026,1028.8,1009.8,1020.8,1022.889774,316705,4969,323954306,26315,8.31,19,-5.2
30-Mar-17,1034.2,1035.85,1020.1,1024.5,1027.41938,139022,4709,142833897,63292,45.53,15.75,-9.7
29-Mar-17,1035,1040.5,1025.85,1031.35,1033.851664,341718,2349,353285723,127931,37.44,14.65,-3.65
28-Mar-17,1026.25,1038.75,1026.25,1035.1,1035.093696,71188,2263,73686250,29987,42.12,12.5,8.85
27-Mar-17,1033,1041.95,1024.3,1028.8,1034.648673,250667,6298,259352279,137379,54.81,17.65,-4.2
24-Mar-17,1040.4,1043.95,1026,1031.8,1033.747082,138729,5340,143410699,69004,49.74,17.95,-8.6
23-Mar-17,1028,1042.55,1026.55,1040.6,1037.726341,107188,3720,111231811,59190,55.22,16,12.6
22-Mar-17,1020,1039,1020,1027.8,1029.325775,116068,4497,119471784,42984,37.03,19,7.8
21-Mar-17,1021,1034.8,1018.9,1032,1027.5625,101168,3428,103956443,29134,28.8,15.9,11
20-Mar-17,1029,1029,1015.9,1020.6,1019.963878,137062,4581,139798289,61308,44.73,13.1,-8.4
17-Mar-17,1035,1042.5,1020.45,1040,1032.359169,111037,4936,114630065,42886,38.62,22.05,5
16-Mar-17,1012,1032,1012,1028.5,1024.639364,103395,4234,105942587,47360,45.8,20,16.5
15-Mar-17,1035,1035,1008,1012.1,1015.18614,111851,5505,113549585,39336,35.17,27,-22.9
14-Mar-17,1032.5,1041.75,1023.65,1035,1034.334009,169244,5643,175054825,87866,51.92,18.1,2.5
10-Mar-17,1011.7,1027.5,1011.7,1020.1,1020.473152,169675,4365,173148782,117882,69.48,15.8,8.4
09-Mar-17,1007.25,1013,999,1011.6,1008.38044,92280,4437,93053347,30869,33.45,14,4.35
08-Mar-17,1020,1020,1004.25,1007.25,1010.038728,112606,3843,113736421,44246,39.29,15.75,-12.75
07-Mar-17,1024,1025.5,1015,1019.7,1019.870825,119466,5266,121839888,55684,46.61,10.5,-4.3
06-Mar-17,1019.8,1035.9,1018,1033.85,1029.159707,155040,5552,159560921,53860,34.74,17.9,14.05
03-Mar-17,1010.1,1034.25,1000.5,1031.15,1019.098402,186408,8606,189968095,66027,35.42,33.75,21.05
02-Mar-17,1025,1027.9,1016.1,1020.65,1023.142136,96218,3676,98444690,26290,27.32,11.8,-4.35
01-Mar-17,1014.6,1026.2,1011.8,1025,1023.545026,152690,6736,156285090,57880,37.91,14.4,10.4
28-Feb-17,1011,1021.85,1009,1012.3,1015.108295,80872,3349,82093838,28908,35.75,12.85,1.3
27-Feb-17,1005.5,1022.45,1005.5,1012.75,1017.119494,153815,7666,156448235,64491,41.93,16.95,7.25
23-Feb-17,991,1019.9,991,1009.05,1009.903292,201473,7970,203468246,64010,31.77,28.9,18.05
22-Feb-17,1012.7,1015,988.25,991.85,995.4248216,164123,7235,163372108,57989,35.33,26.75,-20.85
21-Feb-17,1020,1024.8,1000.1,1012.95,1015.184975,263663,5381,267666716,62642,23.76,24.7,-7.05
20-Feb-17,998.9,1028.1,993.5,1011.7,1004.807337,134042,4404,134686385,46850,34.95,34.6,12.8
17-Feb-17,1011.9,1012.05,993.4,999.7,1001.111613,157562,5772,157737148,35300,22.4,18.65,-12.2
16-Feb-17,992,1014.8,990,1011.9,1004.105652,374068,13770,375603793,174289,46.59,24.8,19.9
15-Feb-17,982.15,998,969.9,982.35,982.0558728,294759,9185,289469807,99709,33.83,28.1,0.2
14-Feb-17,982.55,988.5,972.7,987.3,979.3259006,503405,5234,492997555,389767,77.43,15.8,4.75
13-Feb-17,975,985,963.1,983.5,977.6102255,473230,9927,462634487,253287,53.52,21.9,8.5
10-Feb-17,945,971.8,944,968.05,965.6016973,1185031,10423,1144267945,834603,70.43,27.8,23.05
09-Feb-17,936,949.9,936,948.1,944.444388,330675,7828,312304148,203916,61.67,13.9,12.1
08-Feb-17,940,943.95,932.35,936.45,936.8501524,189339,6417,177382271,58869,31.09,11.6,-3.55
07-Feb-17,934.9,949.4,929.05,944.75,940.1551923,254452,6701,239224369,92164,36.22,20.35,9.85
06-Feb-17,939,941.65,931,934.45,935.6785433,206625,5051,193334579,108079,52.31,10.65,-4.55
03-Feb-17,934,940.7,921.5,934.95,929.5020232,338325,8565,314473772,82890,24.5,19.2,0.95
02-Feb-17,916,945.2,911,935.35,930.7411037,457353,10478,425677236,202259,44.22,34.2,19.35
01-Feb-17,921.9,923.2,906,916.55,913.281326,334107,12496,305133684,97689,29.24,17.2,-5.35
31-Jan-17,943.9,947,905,929.3,922.8279197,870855,23940,803649308,428687,49.23,42,-14.6
30-Jan-17,938.7,951.9,929.65,948.35,942.5359019,492355,9028,464062264,326516,66.32,22.25,9.65
27-Jan-17,935,948,926.4,942.15,939.6034983,319411,9202,300119693,149270,46.73,21.6,7.15
25-Jan-17,948.75,950,935,936.65,940.3121889,222990,7921,209680215,114548,51.37,15,-12.1
24-Jan-17,952.85,953,940.15,945.1,944.1284984,125628,4486,118608975,47025,37.43,12.85,-7.75
23-Jan-17,947,957.5,939.5,951.75,952.8735307,177213,5621,168861577,65815,37.14,18,4.75
20-Jan-17,953,955,946,948.8,948.9306712,221048,7143,209759227,137889,62.38,9,-4.2
19-Jan-17,951,960.3,949.6,958.55,953.6532131,284633,6358,271441175,155807,54.74,10.7,7.55
18-Jan-17,958,961,950,950.9,954.9145231,161026,6159,153766066,89402,55.52,11,-7.1
17-Jan-17,959.8,964.75,954,956.05,958.0298175,211084,7596,202224766,119137,56.44,10.75,-3.75
16-Jan-17,965,965.5,952.5,955.7,959.0375402,274905,10340,263644215,107305,39.03,13,-9.3
13-Jan-17,1026.35,1045,964,975.15,991.2959509,1266558,46053,1255533817,337431,26.64,81,-51.2
12-Jan-17,972.25,1004.4,972.25,1000.05,991.3684965,261761,8578,259501609,134210,51.27,32.15,27.8
11-Jan-17,978,978,964,969,968.1158354,193257,8497,187095162,100293,51.9,14,-9
10-Jan-17,976.25,980.95,968,970.6,974.0760895,457619,12589,445755726,370235,80.9,12.95,-5.65
09-Jan-17,974,976.85,965,970.55,969.4555476,257174,5672,249318761,147901,57.51,11.85,-3.45
06-Jan-17,993,998.95,968.45,971.45,971.7317884,887743,16337,862648093,670566,75.54,30.5,-21.55
05-Jan-17,999,1009,989.1,996.4,999.3571018,520675,6097,520340259,448326,86.1,19.9,-2.6
04-Jan-17,994.6,1003.3,993.7,998.3,999.2279782,142847,3795,142736719,81600,57.12,9.6,3.7
03-Jan-17,1002.35,1005.9,980.8,994.65,991.5495732,418341,8769,414805840,251027,60.01,25.1,-7.7
02-Jan-17,1012,1013.1,1000,1001.6,1005.41185,74583,3017,74986632,24385,32.7,13.1,-10.4
30-Dec-16,995.25,1012,993,1010.7,1004.059468,217681,7180,218564669,100226,46.04,19,15.45
29-Dec-16,1000,1007.45,986.4,994.1,996.4570624,165205,5688,164619689,97135,58.8,21.05,-5.9
28-Dec-16,999.5,1009.75,995.2,999.15,1001.338574,452433,6060,453038615,372428,82.32,14.55,-0.35
27-Dec-16,983.1,1002.9,982.25,999.25,995.6129507,132518,3821,131936637,74938,56.55,20.65,16.15
26-Dec-16,989,993.85,976,983,984.1228329,107748,3810,106037267,49236,45.7,17.85,-6
23-Dec-16,981.35,1006.6,975,989.3,990.270987,154679,7093,153174126,50491,32.64,31.6,7.95
22-Dec-16,1002.9,1006.9,970.2,985.2,991.8988303,348543,6883,345719394,242380,69.54,36.7,-17.7
21-Dec-16,1015,1020.95,1001.05,1003.7,1013.748914,117589,6125,119205721,45394,38.6,19.9,-11.3
