Announcement Date,Effective Date,Dividend Type,Dividend(%),Dividend per share,Remarks
13-04-2017,01-Jun-2017,Final,295%,14.75,Rs.14.7500 per share(295%)Final Dividend.
16-09-2016,21-Oct-2016,Interim,220%,11.00,Rs.11.0000 per share(220%)Interim Dividend
15-04-2016,09-Jun-2016,Final,285%,14.25,Rs.14.2500 per share(285%)Final Dividend
15-09-2015,16-Oct-2015,Interim,200%,10.00,Rs.10.0000 per share(200%)Interim Dividend
24-04-2015,15-Jun-2015,Final,590%,29.50,Rs.29.5000 per share(590%)Final Dividend (equivalent toRs. 14.75/- per shareafter 1:1 bonus issue)
28-08-2014,16-Oct-2014,Interim,600%,30.00,Rs.30.0000 per share(600%)Interim Dividend
15-04-2014,29-May-2014,Final,860%,43.00,Rs.43.0000 per share(860%)Final Dividend
26-09-2013,17-Oct-2013,Interim,400%,20.00,Rs.20.0000 per share(400%)Interim Dividend
12-04-2013,30-May-2013,Final,540%,27.00,Rs.27.0000 per share(540%)Final Dividend
24-09-2012,18-Oct-2012,Interim,300%,15.00,Rs.15.0000 per share(300%)Interim Dividend
13-04-2012,24-May-2012,Final,640%,32.00,Rs. 22.00 per share (440%) Final Dividend & Rs.10.00 per share (200%) Special Dividend
22-09-2011,20-Oct-2011,Interim,300%,15.00,
15-04-2011,26-May-2011,Final,400%,20.00,
29-09-2010,21-Oct-2010,Interim,800%,40.00,Rs.10.00 per share(200%)Interim Dividend & Rs.30.00 per share(600%)Special Dividend.
13-04-2010,26-May-2010,Final,300%,15.00,
22-09-2009,15-Oct-2009,Interim,200%,10.00,
15-04-2009,04-Jun-2009,Final,270%,13.50,
25-09-2008,16-Oct-2008,Interim,200%,10.00,
15-04-2008,29-May-2008,Final,545%,27.25,(Final Dividend 145% + Special Dividend  400%)
26-09-2007,18-Oct-2007,Interim,120%,6.00,
13-04-2007,06-Jun-2007,Final,130%,6.50,AGM
28-09-2006,19-Oct-2006,Interim,100%,5.00,
14-04-2006,25-May-2006,Final,770%,38.50,Silver Jubilee special dividend of Rs. 30 per share (600% on par value of Rs. 5 per share) & final dividend of Rs. 8.50/- per share (170% on an equity share par value Rs. 5/-).
23-09-2005,17-Oct-2005,Interim,130%,6.50,
14-04-2005,01-Jun-2005,Final,130%,6.50,Final dividend of Rs. 6.50 per share (130% on an equity share par value Rs. 5/-).
01-10-2004,18-Oct-2004,Interim,100%,5.00,(100% on a par value of Rs.5/- per share)
13-04-2004,26-May-2004,Final,2300%,115.00,Final dividend of Rs. 15/- per share (300% on an equity share par value Rs. 5/-) & Special one-time dividend of Rs. 100/- per share (2000% on an equity share par value of Rs. 5/-). (Revised)
17-09-2003,16-Oct-2003,Interim,290%,14.50,
10-04-2003,28-May-2003,Final,290%,14.50,AGM & Dividend
30-09-2002,30-Oct-2002,Interim,250%,12.50,
10-04-2002,21-May-2002,Final,250%,12.50,Final dividend of Rs 12.50 for each share of par value of Rs 5 per share
05-10-2001,18-Oct-2001,Interim,150%,7.50,
11-04-2001,27-Apr-2001,Final,150%,7.50,
10-10-2000,25-Oct-2000,Interim,50%,2.50,
26-04-2000,26-Apr-2000,Final,60%,3.00,
08-10-1999,08-Oct-1999,Interim,30%,3.00,
20-04-1999,20-Apr-1999,Final,50%,5.00,AGM & Dividend
13-10-1998,13-Oct-1998,Interim,25%,2.50,Revised
10-04-1998,10-Apr-1998,Final,45%,4.50,
16-10-1997,16-Oct-1997,Interim,15%,1.50,
15-04-1997,15-Apr-1997,Final,40%,4.00,Revised from 23/5/97
