Announcement Date,Effective Date,Dividend Type,Dividend(%),Dividend per share,Remarks
10-01-2017,02-02-2017,Interim,100%,2.00,Rs.2.0000 per share(100%)Interim Dividend
20-04-2016,11-07-2016,Final,50%,1.00,Rs.1.0000 per share(50%)Final Dividend
06-01-2016,25-01-2016,Interim,250%,5.00,Rs.5.0000 per share(250%)Interim Dividend
21-04-2015,20-07-2015,Final,350%,7.00,Rs.7.0000 per share(350%)Final Dividend
07-01-2015,22-01-2015,Interim,250%,5.00,Rs.5.0000 per share(250%)Interim Dividend
17-04-2014,21-07-2014,Final,250%,5.00,Rs.5.0000 per share(250%)Final Dividend  (B C Dates has been revised from 01/07/2014 to 23/07/2014)
13-01-2014,22-01-2014,Interim,150%,3.00,Rs.3.0000 per share(150%)Interim Dividend
19-04-2013,27-06-2013,Final,250%,5.00,Rs.5.0000 per share(250%)Final Dividend
15-01-2013,23-01-2013,Interim,100%,2.00,Rs.2.0000 per share(100%)Interim Dividend
25-04-2012,28-06-2012,Final,200%,4.00,
10-01-2012,24-01-2012,Interim,100%,2.00,
27-04-2011,29-06-2011,Final,200%,4.00,
17-01-2011,27-01-2011,Interim,100%,2.00,
23-04-2010,15-06-2010,Final,300%,6.00,(Revised from BC 01/07/2010 to 22/07/2010)
22-04-2009,29-06-2009,Final,200%,4.00,
21-04-2008,27-06-2008,Final,200%,4.00,AGM
10-10-2007,25-10-2007,Interim,100%,2.00,
20-04-2007,28-06-2007,Final,50%,1.00,AGM
14-03-2007,26-03-2007,Interim,250%,5.00,
19-04-2006,29-06-2006,Final,250%,5.00,AGM
22-04-2005,29-06-2005,Final,250%,5.00,AGM
16-04-2004,06-05-2004,Final,1450%,29.00,The Board has also proposed a Final Dividend of Rs 4 per share and an one time dividend of Rs 25 per share.
17-04-2003,01-07-2003,Final,50%,1.00,AGM
19-04-2002,28-06-2002,Final,50%,1.00,AGM
20-04-2001,18-06-2001,Final,25%,0.50,
26-04-2000,08-05-2000,Interim,15%,0.30,
25-05-1999,05-07-1999,Final,15%,0.30,
26-05-1998,01-06-1998,Final,15%,1.50,
